image,score
im34-RET079OS.jpg,0.60491943359375
im26-RET046OS.jpg,0.2894268422926308
im01-RET029OD.jpg,0.4843028624192059
im18-RET255OD.jpg,0.10077288941736029
im37-RET112OD.jpg,0.4227400519031142
im39-RET122OD.jpg,0.04902777777777778
im22-RET013OD.jpg,0.30373086734693877
im12-RET137OD.jpg,0.6227678571428571
im23-RET015OD.jpg,0.35262345679012347
im35-RET102OD.jpg,0.23603305785123968
im28-RET053OS.jpg,0.08161865569272976
im29-RET055OS.jpg,0.4809540761836953
im07-RET128OD.jpg,0.5766389658356418
im20-RET266OS.jpg,0.23412698412698413
im05-RET039OD.jpg,0.5412956047112899
im03-RET033OD.jpg,0.5372008324661811
im13-RET139OS.jpg,0.6987960760998811
im17-RET229OD.jpg,0.577204826199368
im33-RET072OD.jpg,0.12070759625390219
im24-RET020OS.jpg,0.053810586734693876
im25-RET045OS.jpg,0.07899821640903686
im10-RET133OS.jpg,0.09709937565036421
im11-RET135OS.jpg,0.6733542899408284
im06-RET126OS.jpg,0.4884406887755102
im40-RET264OD.jpg,0.11189313415685148
im08-RET130OD.jpg,0.33987380732533085
im30-RET065OD.jpg,0.0917737465356513
im02-RET031OS.jpg,0.25141200951248516
im32-RET069OD.jpg,0.5180776014109347
im04-RET037OD.jpg,0.11555587474863545
im36-RET104OS.jpg,0.23327883472057076
im21-RET010OS.jpg,0.5882201646090535
im31-RET066OD.jpg,0.5231404958677686
im19-RET260OS.jpg,0.38636363636363635
im09-RET131OD.jpg,0.49785123966942146
im27-RET051OD.jpg,0.09649122807017543
im14-RET140OS.jpg,0.10107438016528926
im15-RET142OS.jpg,0.48636831275720166
im38-RET113OD.jpg,0.07320501730103807
im16-RET228OD.jpg,0.46871748178980227
